date,symbol,yahoo_average_projected,yahoo_std_projected,yahoo_analyst_projections_count,yahoo_projections
2026-01-20,CNP,18.1,,1,Wells Fargo:18.1
2026-01-20,CRL,18.6,,1,Citigroup:18.6
2026-01-20,CVX,15.2,,1,Jefferies:15.2
2026-01-20,DECK,27.8,,1,Citigroup:27.8
2026-01-20,DTE,12.6,,1,Wells Fargo:12.6
2026-01-20,ETN,16.5,,1,HSBC:16.5
2026-01-20,EW,31.4,,1,Stifel:31.4
2026-01-20,FE,12.8,,1,Wells Fargo:12.8
2026-01-20,GDDY,33.7,,1,Morgan Stanley:33.7
2026-01-20,GOOGL,10.4,,1,B of A Securities:10.4
2026-01-20,GS,8.8,,1,RBC Capital:8.8
2026-01-20,HII,0.3,,1,Goldman Sachs:0.3
2026-01-20,KHC,0.7,,1,Morgan Stanley:0.7
2026-01-20,KMB,-8.7,,1,Citigroup:-8.7
2026-01-20,LII,3.1,,1,JP Morgan:3.1
2026-01-20,LOW,7.6,,1,Morgan Stanley:7.6
2026-01-20,LYV,6.6,,1,Jefferies:6.6
2026-01-20,MAR,7,,1,Citigroup:7
2026-01-20,MCHP,12.7,,1,Piper Sandler:12.7
2026-01-20,MTB,20,,1,Jefferies:20
2026-01-20,OTIS,28.9,,1,JP Morgan:28.9
2026-01-20,PNR,16.3,,1,JP Morgan:16.3
2026-01-20,PPL,12.1,,1,Wells Fargo:12.1
2026-01-20,SBAC,33.9,,1,UBS:33.9
2026-01-20,SNDK,5.7,,1,Benchmark:5.7
2026-01-20,T,26.8,,1,Bernstein:26.8
2026-01-20,TPR,3.3,,1,Jefferies:3.3
2026-01-20,WEC,8,,1,Wells Fargo:8
2026-01-20,WFC,13.5,,1,Argus Research:13.5
2026-01-21,ALB,17.8,,1,Oppenheimer:17.8
2026-01-21,AWK,-5.1,,1,Wells Fargo:-5.1
2026-01-21,BA,20.3,,1,Bernstein:20.3
2026-01-21,CHTR,23.3,,1,Bernstein:23.3
2026-01-21,CMCSA,13.3,,1,Bernstein:13.3
2026-01-21,CMS,3.7,,1,Wells Fargo:3.7
2026-01-21,CNP,18.1,,1,Wells Fargo:18.1
2026-01-21,CRL,18.6,,1,Citigroup:18.6
2026-01-21,CVX,5.4,,1,JP Morgan:5.4
2026-01-21,DECK,27.8,,1,Citigroup:27.8
