signal_name,date,ticker,average_projected,analyst_projections_count,mad,signal_score,analyst_percent_list,signal_percentile
yahoo-daily,2026-07-22,GM,20.519999694824218,5,0.8717349146753339,45.884114215901896,Goldman Sachs:28|JP Morgan:49.1|Morgan Stanley:25.5|RBC Capital:24.2|Wells Fargo:-24.2,0.6382978723404256
yahoo-daily,2026-04-30,IR,26.433332761128742,3,0.3825136454301752,45.7838753556499,Barclays:23.4|Citigroup:41.6|Wells Fargo:14.3,0.6329787234042553
yahoo-daily,2026-06-04,AVGO,26.333333333333332,3,0.19578058105983817,45.61067126598043,B of A Securities:29.6|Oppenheimer:30.8|UBS:18.6,0.6276595744680851
yahoo-daily,2026-09-18,CRM,16.857142516544886,7,0.4029055485146353,44.59980691395129,BMO Capital:16.7|Canaccord Genuity:22.8|Cantor Fitzgerald:22.8|Citigroup:7.7|Guggenheim:22.8|RBC Capital:2.4|Stifel:22.8,0.6223404255319149
yahoo-daily,2026-08-06,DIS,22.15000033378601,4,0.3408578020487529,44.30000066757202,Argus Research:30.7|Barclays:12.2|Guggenheim:17|Wells Fargo:28.7,0.6170212765957447
yahoo-daily,2026-07-28,BKR,25.366666158040363,3,0.11651335526709113,43.93635460436392,Piper Sandler:21.5|Stifel:24.8|TD Cowen:29.8,0.6117021276595744
yahoo-daily,2026-08-08,RL,19.57999954223633,5,0.24351380462600827,43.7822099758552,BTIG:16.3|Citigroup:15|Evercore ISI Group:16.3|Telsey Advisory Group:18.8|UBS:31.5,0.6063829787234043
yahoo-daily,2026-07-23,T,21.475000381469727,4,0.250291031642447,42.95000076293945,Argus Research:29|Morgan Stanley:16.1|RBC Capital:16.1|Wolfe Research:24.7,0.601063829787234
yahoo-daily,2026-07-24,TMUS,24.699999888737995,3,0.7152496615499176,42.781654754239824,Barclays:24.9|TD Cowen:51|Wells Fargo:-1.8,0.5957446808510638
yahoo-daily,2026-07-31,AMZN,24.566665649414062,3,0.204432378199351,42.55071307734222,Cantor Fitzgerald:20.8|Citigroup:32.1|Piper Sandler:20.8,0.5904255319148937
yahoo-daily,2026-08-20,LOW,18.899999809265136,5,0.24126982352110268,42.26168434824991,Citigroup:20.4|TD Cowen:8.8|Telsey Advisory Group:20.4|Truist Securities:17.6|UBS:27.3,0.5851063829787234
yahoo-daily,2026-09-10,COO,18.740000343322755,5,0.34493064859124445,41.90391466603908,Citigroup:15.7|JP Morgan:11.8|Piper Sandler:13.7|Stifel:34.9|Wells Fargo:17.6,0.5797872340425532
yahoo-daily,2026-08-13,CAH,17.033333619435627,6,0.19047618914312608,41.72297598621143,Baird:17.6|Barclays:18|Mizuho:7.3|TD Cowen:20.2|UBS:20.2|Wells Fargo:18.9,0.574468085106383
yahoo-daily,2026-07-28,SLB,23.96666653951009,3,0.1622623846592364,41.51148413449244,BMO Capital:22|Barclays:29.8|Susquehanna:20.1,0.5691489361702128
yahoo-daily,2026-07-29,RCL,23.733333587646484,3,0.20692884030579084,41.10733960678465,Stifel:31.1|Susquehanna:17.5|Wells Fargo:22.6,0.5638297872340425
yahoo-daily,2026-07-31,PTC,23.299999872843426,3,0.4778254711958384,40.35678359611319,Barclays:14.2|Piper Sandler:15.7|Rosenblatt:40,0.5585106382978723
yahoo-daily,2026-03-10,VRTX,23.233332951863606,3,0.05547586073304456,40.24131310179197,B of A Securities:24|Citigroup:21.3|Oppenheimer:24.4,0.5478723404255319
yahoo-daily,2026-08-19,KEYS,23.233332951863606,3,0.08225731640384887,40.24131310179197,JP Morgan:21.8|Morgan Stanley:21.8|UBS:26.1,0.5478723404255319
yahoo-daily,2026-09-03,NTAP,16.18333299954732,6,0.23206315812235603,39.64090818643568,Citigroup:17.3|Morgan Stanley:17.9|Northland Capital Markets:15.5|TD Cowen:23.5|UBS:5.6|Wells Fargo:17.3,0.5425531914893617
yahoo-daily,2026-08-06,XYZ,22.56666628519694,3,0.27080256489279575,39.086612563412714,Keybanc:28.9|RBC Capital:13.4|TD Cowen:25.4,0.5372340425531915
yahoo-daily,2026-07-22,EFX,22.39999993642171,3,0.3303571456870119,38.797937979422024,Baird:33.5|RBC Capital:11.7|Wells Fargo:22,0.5319148936170213
yahoo-daily,2026-09-02,PANW,22.366666793823242,3,0.23050174496815992,38.74020328286554,Citigroup:18.5|Oppenheimer:30.1|Piper Sandler:18.5,0.526595744680851
yahoo-daily,2026-08-01,AMZN,19.34999966621399,4,0.21963823436142588,38.69999933242798,Bernstein:20.8|Needham:13.2|Telsey Advisory Group:26.4|Wedbush:17,0.5212765957446809
yahoo-daily,2026-07-30,V,19.324999809265137,4,0.13324708070789135,38.64999961853027,Baird:15.1|Citigroup:20.5|JP Morgan:23.3|Wells Fargo:18.4,0.5159574468085106
yahoo-daily,2026-07-23,TXN,12.149999952316284,10,1.0732510235996444,38.42167342025666,Baird:38.8|Benchmark:29.8|Bernstein:4.6|Goldman Sachs:-18.9|JP Morgan:22.6|Mizuho:10|Morgan Stanley:-8|TD Cowen:22.6|Truist Securities:8.2|Wells Fargo:11.8,0.5106382978723404
yahoo-daily,2026-08-10,TTWO,19.17500066757202,4,0.15840938916826447,38.35000133514404,DA Davidson:21.2|Oppenheimer:13.1|Wedbush:21.2|Wells Fargo:21.2,0.5053191489361702
yahoo-daily,2026-07-27,SLB,19.049999952316284,4,0.36351706503199044,38.09999990463257,Evercore ISI Group:26.2|Morgan Stanley:5.2|Piper Sandler:22.4|TD Cowen:22.4,0.5
yahoo-daily,2026-07-30,IEX,18.200000286102295,4,0.10714287117848756,36.40000057220459,Citigroup:16.5|RBC Capital:21.2|Stifel:16|TD Cowen:19.1,0.4946808510638298
yahoo-daily,2026-08-04,LYB,18.15000009536743,4,0.4917355319791035,36.30000019073486,BMO Capital:15.6|JP Morgan:36|Mizuho:12.2|UBS:8.8,0.48936170212765956
yahoo-daily,2026-07-31,HUM,16.075000286102295,5,0.7356143126370981,35.9447933780533,Evercore ISI Group:29.1|Guggenheim:26.7|TD Cowen:-0.5|UBS:9,0.48404255319148937
yahoo-daily,2026-09-18,INTU,17.925000309944153,4,0.8186889717030803,35.850000619888306,Evercore ISI Group:27.8|Mizuho:37.4|Stifel:-4.1|TD Cowen:10.6,0.4787234042553192
yahoo-daily,2026-07-29,V,17.75,4,0.1267605633802817,35.5,BMO Capital:13.4|Piper Sandler:20.4|Susquehanna:19.6|UBS:17.6,0.4734042553191489
yahoo-daily,2026-07-23,IBM,17.450000047683716,4,0.7908309406651305,34.90000009536743,BMO Capital:13.5|Barclays:29.3|Morgan Stanley:-6.2|RBC Capital:33.2,0.46808510638297873
